avg_deg_setting	dist_name	r_concentration	n_seed	p0	p1	p2	p3	p4plus	active_r_ratio	mean_dk_active	max_dk	direct_K	tia_K	look1_K	look2_K	direct_T	tia_T	look1_T	look2_T
4	p0_50_p1_50	spread	3	0.49915	0.50085	0.00000	0.00000	0.00000	0.09768	1.00000	1.00000	159.0000	79.0000	79.0000	79.0000	0.02000	0.10067	0.10067	0.10067
4	p0_50_p1_50	random	3	0.49915	0.50085	0.00000	0.00000	0.00000	0.09476	1.02755	2.00000	159.0000	78.6667	78.6667	78.6667	0.02000	0.10133	0.10133	0.10133
4	p0_50_p1_50	low20	3	0.49915	0.50085	0.00000	0.00000	0.00000	0.09768	1.00000	1.00000	159.0000	78.6667	78.6667	78.6667	0.02000	0.10133	0.10133	0.10133
4	p0_50_p1_50	top20	3	0.49915	0.50085	0.00000	0.00000	0.00000	0.09768	1.00000	1.00000	159.0000	79.6667	79.6667	79.6667	0.02000	0.09933	0.09933	0.09933
4	p0_50_p1_50	randtop20	3	0.49915	0.50085	0.00000	0.00000	0.00000	0.09768	1.00000	1.00000	159.0000	78.6667	78.6667	78.6667	0.02000	0.10133	0.10133	0.10133
4	p0_50_p1_50	low05	3	0.49915	0.50085	0.00000	0.00000	0.00000	0.04994	1.95665	2.33333	159.0000	78.3333	78.3333	78.3333	0.02000	0.10167	0.10167	0.10167
4	p0_50_p1_50	top05	3	0.49915	0.50085	0.00000	0.00000	0.00000	0.04994	1.95665	2.33333	159.0000	78.3333	78.3333	78.3333	0.02000	0.10167	0.10167	0.10167
4	p0_50_p1_50	randtop05	3	0.49915	0.50085	0.00000	0.00000	0.00000	0.04994	1.95665	2.33333	159.0000	78.6667	78.6667	78.6667	0.02000	0.10133	0.10133	0.10133
4	p0_50_p1_50	low02	3	0.49915	0.50085	0.00000	0.00000	0.00000	0.02030	4.80637	5.33333	159.0000	75.6667	75.6667	75.6667	0.02000	0.10433	0.10433	0.10433
4	p0_50_p1_50	top02	3	0.49915	0.50085	0.00000	0.00000	0.00000	0.02030	4.80637	5.33333	159.0000	76.0000	76.0000	76.0000	0.02000	0.10400	0.10400	0.10400
4	p0_50_p1_50	randtop02	3	0.49915	0.50085	0.00000	0.00000	0.00000	0.02030	4.80637	5.33333	159.0000	76.0000	76.0000	76.0000	0.02000	0.10400	0.10400	0.10400
4	p1_100	spread	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.19493	1.00000	1.00000	159.0000	158.0000	158.0000	158.0000	0.02000	0.02200	0.02200	0.02200
4	p1_100	random	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.17720	1.09506	2.66667	159.0000	157.6667	157.6667	157.6667	0.02000	0.02233	0.02233	0.02233
4	p1_100	low20	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.17879	1.08068	1.33333	159.0000	157.6667	157.6667	157.6667	0.02000	0.02233	0.02233	0.02233
4	p1_100	top20	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.17879	1.08068	1.33333	159.0000	158.6667	158.6667	158.6667	0.02000	0.02067	0.02067	0.02067
4	p1_100	randtop20	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.17879	1.08068	1.33333	159.0000	158.0000	158.0000	158.0000	0.02000	0.02200	0.02200	0.02200
4	p1_100	low05	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.04994	3.90476	4.33333	159.0000	155.3333	155.3333	155.3333	0.02000	0.02467	0.02467	0.02467
4	p1_100	top05	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.04994	3.90476	4.33333	159.0000	155.6667	155.6667	155.6667	0.02000	0.02433	0.02433	0.02433
4	p1_100	randtop05	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.04994	3.90476	4.33333	159.0000	156.0000	156.0000	156.0000	0.02000	0.02400	0.02400	0.02400
4	p1_100	low02	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.02030	9.59191	10.00000	159.0000	149.6667	149.6667	149.6667	0.02000	0.03033	0.03033	0.03033
4	p1_100	top02	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.02030	9.59191	10.00000	159.0000	150.3333	150.3333	150.3333	0.02000	0.02967	0.02967	0.02967
4	p1_100	randtop02	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.02030	9.59191	10.00000	159.0000	150.3333	150.3333	150.3333	0.02000	0.02967	0.02967	0.02967
4	p2_100	spread	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.38986	1.00000	1.00000	159.0000	159.0000	158.6667	158.6667	0.02000	0.02000	0.02100	0.02100
4	p2_100	random	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.32145	1.20357	3.33333	159.0000	159.0000	158.6667	158.6667	0.02000	0.02000	0.02133	0.02133
4	p2_100	low20	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.18954	2.04582	2.33333	159.0000	159.0000	158.6667	158.6667	0.02000	0.02000	0.02100	0.02100
4	p2_100	top20	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.18954	2.04582	2.33333	159.0000	159.0000	158.6667	158.6667	0.02000	0.02000	0.02133	0.02133
4	p2_100	randtop20	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.18954	2.04582	2.33333	159.0000	159.0000	158.6667	158.6667	0.02000	0.02000	0.02100	0.02100
4	p2_100	low05	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.04994	7.80952	8.33333	159.0000	159.0000	132.0000	132.0000	0.02000	0.02000	0.05833	0.05833
4	p2_100	top05	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.04994	7.80952	8.33333	159.0000	159.0000	41.0000	41.0000	0.02000	0.02000	0.17900	0.17900
4	p2_100	randtop05	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.04994	7.80952	8.33333	159.0000	159.0000	57.6667	57.6667	0.02000	0.02000	0.15833	0.15833
4	p2_100	low02	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.02030	19.18382	20.00000	159.0000	159.0000	82.0000	82.0000	0.02000	0.02000	0.10833	0.10833
4	p2_100	top02	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.02030	19.18382	20.00000	159.0000	159.0000	16.6667	16.6667	0.02000	0.02000	0.17900	0.17900
4	p2_100	randtop02	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.02030	19.18382	20.00000	159.0000	159.0000	15.6667	15.6667	0.02000	0.02000	0.18000	0.18000
4	p3_100	spread	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.58479	1.00000	1.00000	159.0000	159.0000	159.0000	159.0000	0.02000	0.02000	0.02000	0.02000
4	p3_100	random	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.44046	1.31703	3.66667	159.0000	159.0000	159.0000	159.0000	0.02000	0.02000	0.02000	0.02000
4	p3_100	low20	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.19387	3.00280	3.66667	159.0000	159.0000	159.0000	157.3333	0.02000	0.02000	0.02000	0.02733
4	p3_100	top20	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.19387	3.00280	3.66667	159.0000	159.0000	159.0000	158.6667	0.02000	0.02000	0.02000	0.02267
4	p3_100	randtop20	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.19387	3.00280	3.66667	159.0000	159.0000	159.0000	158.0000	0.02000	0.02000	0.02000	0.02333
4	p3_100	low05	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.04994	11.71429	12.66667	159.0000	159.0000	159.0000	136.0000	0.02000	0.02000	0.02000	0.05433
4	p3_100	top05	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.04994	11.71429	12.66667	159.0000	159.0000	159.0000	41.0000	0.02000	0.02000	0.02000	0.17900
4	p3_100	randtop05	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.04994	11.71429	12.66667	159.0000	159.0000	159.0000	59.3333	0.02000	0.02000	0.02000	0.15667
4	p3_100	low02	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.02030	28.77574	30.00000	159.0000	159.0000	159.0000	91.6667	0.02000	0.02000	0.02000	0.09867
4	p3_100	top02	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.02030	28.77574	30.00000	159.0000	159.0000	159.0000	16.6667	0.02000	0.02000	0.02000	0.17900
4	p3_100	randtop02	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.02030	28.77574	30.00000	159.0000	159.0000	159.0000	15.6667	0.02000	0.02000	0.02000	0.18000
4	p4_100	spread	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.71790	1.00000	1.00000	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	random	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.51259	1.39298	4.33333	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	low20	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.19819	3.61844	4.66667	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	top20	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.19819	3.61844	4.66667	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	randtop20	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.19819	3.61844	4.66667	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	low05	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.04994	14.38400	16.00000	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	top05	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.04994	14.38400	16.00000	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	randtop05	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.04994	14.38400	16.00000	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	low02	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.02030	35.34069	36.00000	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	top02	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.02030	35.34069	36.00000	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	randtop02	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.02030	35.34069	36.00000	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p0_20_p1_40_p2_40	spread	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.23415	1.00000	1.00000	159.0000	126.6667	126.6667	126.6667	0.02000	0.05300	0.05300	0.05300
4	p0_20_p1_40_p2_40	random	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.20867	1.11804	2.66667	159.0000	126.3333	126.3333	126.3333	0.02000	0.05367	0.05367	0.05367
4	p0_20_p1_40_p2_40	low20	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.17330	1.34716	2.00000	159.0000	126.3333	126.3333	126.3333	0.02000	0.05367	0.05367	0.05367
4	p0_20_p1_40_p2_40	top20	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.17330	1.34716	2.00000	159.0000	127.3333	127.0000	127.0000	0.02000	0.05167	0.05300	0.05300
4	p0_20_p1_40_p2_40	randtop20	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.17330	1.34716	2.00000	159.0000	126.3333	126.3333	126.3333	0.02000	0.05367	0.05367	0.05367
4	p0_20_p1_40_p2_40	low05	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.04994	4.69048	5.00000	159.0000	103.6667	103.6667	103.6667	0.02000	0.08767	0.08767	0.08767
4	p0_20_p1_40_p2_40	top05	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.04994	4.69048	5.00000	159.0000	41.0000	41.0000	41.0000	0.02000	0.17900	0.17900	0.17900
4	p0_20_p1_40_p2_40	randtop05	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.04994	4.69048	5.00000	159.0000	60.0000	60.0000	60.0000	0.02000	0.15200	0.15200	0.15200
4	p0_20_p1_40_p2_40	low02	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.02030	11.52206	12.00000	159.0000	62.6667	62.6667	62.6667	0.02000	0.12767	0.12767	0.12767
4	p0_20_p1_40_p2_40	top02	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.02030	11.52206	12.00000	159.0000	16.6667	16.6667	16.6667	0.02000	0.17900	0.17900	0.17900
4	p0_20_p1_40_p2_40	randtop02	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.02030	11.52206	12.00000	159.0000	15.6667	15.6667	15.6667	0.02000	0.18000	0.18000	0.18000
4	p1_33_p2_34_p3_33	spread	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.38822	1.00000	1.00000	159.0000	158.0000	158.0000	158.0000	0.02000	0.02167	0.02167	0.02167
4	p1_33_p2_34_p3_33	random	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.32020	1.20301	3.33333	159.0000	157.6667	157.6667	157.6667	0.02000	0.02233	0.02233	0.02233
4	p1_33_p2_34_p3_33	low20	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.19387	1.99344	3.33333	159.0000	157.0000	156.6667	156.6667	0.02000	0.02367	0.02467	0.02467
4	p1_33_p2_34_p3_33	top20	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.19387	1.99344	3.33333	159.0000	158.6667	158.0000	158.0000	0.02000	0.02033	0.02267	0.02267
4	p1_33_p2_34_p3_33	randtop20	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.19387	1.99344	3.33333	159.0000	158.0000	157.6667	157.6667	0.02000	0.02167	0.02267	0.02267
4	p1_33_p2_34_p3_33	low05	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.04994	7.77656	9.00000	159.0000	131.6667	131.6667	131.6667	0.02000	0.05867	0.05867	0.05867
4	p1_33_p2_34_p3_33	top05	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.04994	7.77656	9.00000	159.0000	41.0000	41.0000	41.0000	0.02000	0.17900	0.17900	0.17900
4	p1_33_p2_34_p3_33	randtop05	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.04994	7.77656	9.00000	159.0000	57.6667	57.6667	57.6667	0.02000	0.15833	0.15833	0.15833
4	p1_33_p2_34_p3_33	low02	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.02030	19.10294	20.00000	159.0000	82.0000	82.0000	82.0000	0.02000	0.10833	0.10833	0.10833
4	p1_33_p2_34_p3_33	top02	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.02030	19.10294	20.00000	159.0000	16.6667	16.6667	16.6667	0.02000	0.17900	0.17900	0.17900
4	p1_33_p2_34_p3_33	randtop02	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.02030	19.10294	20.00000	159.0000	15.6667	15.6667	15.6667	0.02000	0.18000	0.18000	0.18000
4	p2_50_p3_50	spread	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.48711	1.00000	1.00000	159.0000	159.0000	159.0000	159.0000	0.02000	0.02000	0.02000	0.02000
4	p2_50_p3_50	random	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.38625	1.25111	3.66667	159.0000	159.0000	158.6667	158.6667	0.02000	0.02000	0.02133	0.02133
4	p2_50_p3_50	low20	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.19387	2.50127	3.33333	159.0000	159.0000	157.3333	157.3333	0.02000	0.02000	0.02500	0.02500
4	p2_50_p3_50	top20	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.19387	2.50127	3.33333	159.0000	159.0000	159.0000	158.6667	0.02000	0.02000	0.02000	0.02200
4	p2_50_p3_50	randtop20	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.19387	2.50127	3.33333	159.0000	159.0000	158.6667	158.6667	0.02000	0.02000	0.02133	0.02133
4	p2_50_p3_50	low05	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.04994	9.75763	10.66667	159.0000	159.0000	133.6667	133.6667	0.02000	0.02000	0.05667	0.05667
4	p2_50_p3_50	top05	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.04994	9.75763	10.66667	159.0000	159.0000	41.0000	41.0000	0.02000	0.02000	0.17900	0.17900
4	p2_50_p3_50	randtop05	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.04994	9.75763	10.66667	159.0000	159.0000	58.3333	58.3333	0.02000	0.02000	0.15767	0.15767
4	p2_50_p3_50	low02	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.02030	23.96936	25.33333	159.0000	159.0000	86.6667	86.6667	0.02000	0.02000	0.10367	0.10367
4	p2_50_p3_50	top02	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.02030	23.96936	25.33333	159.0000	159.0000	16.6667	16.6667	0.02000	0.02000	0.17900	0.17900
