avg_deg_setting	dist_name	r_concentration	n_seed	p0	p1	p2	p3	p4plus	active_r_ratio	mean_dk_active	max_dk	direct_K	tia_K	look1_K	look2_K	direct_T	tia_T	look1_T	look2_T
4	p2_50_p3_50	randtop02	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.02030	23.96936	25.33333	159.0000	159.0000	15.6667	15.6667	0.02000	0.02000	0.18000	0.18000
8	p0_50_p1_50	spread	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.28883	1.00000	1.00000	353.3333	175.3333	175.3333	175.3333	0.02000	0.19900	0.19900	0.19900
8	p0_50_p1_50	random	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.25084	1.14230	3.00000	353.3333	175.3333	175.3333	175.3333	0.02000	0.19900	0.19900	0.19900
8	p0_50_p1_50	low20	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.19910	1.44764	1.66667	353.3333	175.3333	175.3333	175.3333	0.02000	0.19900	0.19900	0.19900
8	p0_50_p1_50	top20	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.19910	1.44764	1.66667	353.3333	175.6667	175.6667	175.6667	0.02000	0.19833	0.19833	0.19833
8	p0_50_p1_50	randtop20	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.19910	1.44764	1.66667	353.3333	175.3333	175.0000	175.0000	0.02000	0.19900	0.20000	0.20000
8	p0_50_p1_50	low05	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.03398	63.18333	63.33333	353.3333	113.6667	113.6667	113.6667	0.02000	0.26067	0.26067	0.26067
8	p0_50_p1_50	top05	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.03398	63.18333	63.33333	353.3333	114.0000	114.0000	114.0000	0.02000	0.26033	0.26033	0.26033
8	p0_50_p1_50	randtop05	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.03398	63.18333	63.33333	353.3333	114.3333	114.3333	114.3333	0.02000	0.26000	0.26000	0.26000
8	p0_50_p1_50	low02	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.01968	14.68470	15.00000	353.3333	162.3333	162.3333	162.3333	0.02000	0.21200	0.21200	0.21200
8	p0_50_p1_50	top02	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.01968	14.68470	15.00000	353.3333	162.6667	162.6667	162.6667	0.02000	0.21167	0.21167	0.21167
8	p0_50_p1_50	randtop02	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.01968	14.68470	15.00000	353.3333	162.6667	162.6667	162.6667	0.02000	0.21167	0.21167	0.21167
8	p1_100	spread	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.57867	1.00000	1.00000	353.3333	352.3333	352.3333	352.3333	0.02000	0.02200	0.02200	0.02200
8	p1_100	random	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.42600	1.33735	3.66667	353.3333	352.0000	352.0000	352.0000	0.02000	0.02233	0.02233	0.02233
8	p1_100	low20	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.20052	2.88613	3.00000	353.3333	351.0000	351.0000	351.0000	0.02000	0.02333	0.02333	0.02333
8	p1_100	top20	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.20052	2.88613	3.00000	353.3333	351.3333	351.3333	351.3333	0.02000	0.02300	0.02300	0.02300
8	p1_100	randtop20	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.20052	2.88613	3.00000	353.3333	351.3333	350.3333	350.3333	0.02000	0.02300	0.02467	0.02467
8	p1_100	low05	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.03398	126.70952	127.00000	353.3333	227.0000	227.0000	227.0000	0.02000	0.14733	0.14733	0.14733
8	p1_100	top05	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.03398	126.70952	127.00000	353.3333	227.3333	227.3333	227.3333	0.02000	0.14700	0.14700	0.14700
8	p1_100	randtop05	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.03398	126.70952	127.00000	353.3333	227.6667	227.6667	227.6667	0.02000	0.14667	0.14667	0.14667
8	p1_100	low02	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.01968	29.42100	29.66667	353.3333	324.3333	324.3333	324.3333	0.02000	0.05000	0.05000	0.05000
8	p1_100	top02	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.01968	29.42100	29.66667	353.3333	325.0000	325.0000	325.0000	0.02000	0.04933	0.04933	0.04933
8	p1_100	randtop02	3	0.00000	1.00000	0.00000	0.00000	0.00000	0.01968	29.42100	29.66667	353.3333	325.0000	325.0000	325.0000	0.02000	0.04933	0.04933	0.04933
8	p2_100	spread	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.92935	1.22799	1.66667	353.3333	353.3333	352.6667	352.6667	0.02000	0.02000	0.02233	0.02233
8	p2_100	random	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.66801	1.70174	6.33333	353.3333	353.3333	352.6667	352.6667	0.02000	0.02000	0.02267	0.02267
8	p2_100	low20	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.20052	5.77225	6.00000	353.3333	353.3333	302.0000	302.0000	0.02000	0.02000	0.10000	0.10000
8	p2_100	top20	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.20052	5.77225	6.00000	353.3333	353.3333	165.6667	165.6667	0.02000	0.02000	0.29167	0.29167
8	p2_100	randtop20	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.20052	5.77225	6.00000	353.3333	353.3333	178.3333	169.0000	0.02000	0.02000	0.26733	0.28167
8	p2_100	low05	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.03451	134.41905	134.66667	353.3333	353.3333	90.0000	90.0000	0.02000	0.02000	0.30067	0.30067
8	p2_100	top05	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.03451	134.41905	134.66667	353.3333	353.3333	21.6667	21.6667	0.02000	0.02000	0.37333	0.37333
8	p2_100	randtop05	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.03451	134.41905	134.66667	353.3333	353.3333	21.0000	21.0000	0.02000	0.02000	0.37400	0.37400
8	p2_100	low02	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.01968	58.84199	59.33333	353.3333	353.3333	10.6667	10.6667	0.02000	0.02000	0.37500	0.37500
8	p2_100	top02	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.01968	58.84199	59.33333	353.3333	353.3333	12.3333	12.3333	0.02000	0.02000	0.37333	0.37333
8	p2_100	randtop02	3	0.00000	0.00000	1.00000	0.00000	0.00000	0.01968	58.84199	59.33333	353.3333	353.3333	12.0000	12.0000	0.02000	0.02000	0.37367	0.37367
8	p3_100	spread	3	0.00000	0.00000	0.00000	1.00000	0.00000	1.00000	1.73601	2.33333	353.3333	353.3333	353.3333	353.3333	0.02000	0.02000	0.02000	0.02000
8	p3_100	random	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.80184	2.12940	7.33333	353.3333	353.3333	353.3333	353.3333	0.02000	0.02000	0.02000	0.02000
8	p3_100	low20	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.20052	8.65838	9.00000	353.3333	353.3333	353.3333	291.6667	0.02000	0.02000	0.02000	0.12333
8	p3_100	top20	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.20052	8.65838	9.00000	353.3333	353.3333	353.3333	125.0000	0.02000	0.02000	0.02000	0.37400
8	p3_100	randtop20	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.20052	8.65838	9.00000	353.3333	353.3333	353.3333	146.6667	0.02000	0.02000	0.02000	0.32800
8	p3_100	low05	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.03505	142.12857	142.33333	353.3333	353.3333	353.3333	95.6667	0.02000	0.02000	0.02000	0.29533
8	p3_100	top05	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.03505	142.12857	142.33333	353.3333	353.3333	353.3333	22.0000	0.02000	0.02000	0.02000	0.37333
8	p3_100	randtop05	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.03505	142.12857	142.33333	353.3333	353.3333	353.3333	21.3333	0.02000	0.02000	0.02000	0.37400
8	p3_100	low02	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.01968	88.26299	89.00000	353.3333	353.3333	353.3333	10.6667	0.02000	0.02000	0.02000	0.37500
8	p3_100	top02	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.01968	88.26299	89.00000	353.3333	353.3333	353.3333	12.3333	0.02000	0.02000	0.02000	0.37333
8	p3_100	randtop02	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.01968	88.26299	89.00000	353.3333	353.3333	353.3333	12.0000	0.02000	0.02000	0.02000	0.37367
8	p4_100	spread	3	0.00000	0.00000	0.00000	0.00000	1.00000	1.00000	2.31468	3.00000	353.3333	353.3333	353.3333	353.3333	0.02000	0.02000	0.02000	0.02000
8	p4_100	random	3	0.00000	0.00000	0.00000	0.00000	1.00000	0.87893	2.59947	8.33333	353.3333	353.3333	353.3333	353.3333	0.02000	0.02000	0.02000	0.02000
8	p4_100	low20	3	0.00000	0.00000	0.00000	0.00000	1.00000	0.20052	11.54450	12.00000	353.3333	353.3333	353.3333	353.3333	0.02000	0.02000	0.02000	0.02000
8	p4_100	top20	3	0.00000	0.00000	0.00000	0.00000	1.00000	0.20052	11.54450	12.00000	353.3333	353.3333	353.3333	353.3333	0.02000	0.02000	0.02000	0.02000
8	p4_100	randtop20	3	0.00000	0.00000	0.00000	0.00000	1.00000	0.20052	11.54450	12.00000	353.3333	353.3333	353.3333	353.3333	0.02000	0.02000	0.02000	0.02000
8	p4_100	low05	3	0.00000	0.00000	0.00000	0.00000	1.00000	0.03558	149.83810	150.33333	353.3333	353.3333	353.3333	353.3333	0.02000	0.02000	0.02000	0.02000
8	p4_100	top05	3	0.00000	0.00000	0.00000	0.00000	1.00000	0.03558	149.83810	150.33333	353.3333	353.3333	353.3333	353.3333	0.02000	0.02000	0.02000	0.02000
8	p4_100	randtop05	3	0.00000	0.00000	0.00000	0.00000	1.00000	0.03558	149.83810	150.33333	353.3333	353.3333	353.3333	353.3333	0.02000	0.02000	0.02000	0.02000
8	p4_100	low02	3	0.00000	0.00000	0.00000	0.00000	1.00000	0.01968	117.68398	118.66667	353.3333	353.3333	353.3333	353.3333	0.02000	0.02000	0.02000	0.02000
8	p4_100	top02	3	0.00000	0.00000	0.00000	0.00000	1.00000	0.01968	117.68398	118.66667	353.3333	353.3333	353.3333	353.3333	0.02000	0.02000	0.02000	0.02000
8	p4_100	randtop02	3	0.00000	0.00000	0.00000	0.00000	1.00000	0.01968	117.68398	118.66667	353.3333	353.3333	353.3333	353.3333	0.02000	0.02000	0.02000	0.02000
8	p0_20_p1_40_p2_40	spread	3	0.19977	0.40011	0.40011	0.00000	0.00000	0.69429	1.00000	1.00000	353.3333	281.6667	281.6667	281.6667	0.02000	0.09267	0.09267	0.09267
8	p0_20_p1_40_p2_40	random	3	0.19977	0.40011	0.40011	0.00000	0.00000	0.48728	1.40201	4.00000	353.3333	281.0000	280.6667	280.6667	0.02000	0.09400	0.09500	0.09500
8	p0_20_p1_40_p2_40	low20	3	0.19977	0.40011	0.40011	0.00000	0.00000	0.20052	3.46277	4.66667	353.3333	246.3333	246.3333	246.3333	0.02000	0.15067	0.15067	0.15067
8	p0_20_p1_40_p2_40	top20	3	0.19977	0.40011	0.40011	0.00000	0.00000	0.20052	3.46277	4.66667	353.3333	151.6667	151.0000	151.0000	0.02000	0.30067	0.30233	0.30233
8	p0_20_p1_40_p2_40	randtop20	3	0.19977	0.40011	0.40011	0.00000	0.00000	0.20052	3.46277	4.66667	353.3333	231.0000	231.0000	231.0000	0.02000	0.17100	0.17100	0.17100
8	p0_20_p1_40_p2_40	low05	3	0.19977	0.40011	0.40011	0.00000	0.00000	0.03451	80.74286	105.33333	353.3333	73.0000	73.0000	73.0000	0.02000	0.31767	0.31767	0.31767
8	p0_20_p1_40_p2_40	top05	3	0.19977	0.40011	0.40011	0.00000	0.00000	0.03451	80.74286	105.33333	353.3333	21.6667	21.6667	21.6667	0.02000	0.37333	0.37333	0.37333
8	p0_20_p1_40_p2_40	randtop05	3	0.19977	0.40011	0.40011	0.00000	0.00000	0.03451	80.74286	105.33333	353.3333	21.0000	21.0000	21.0000	0.02000	0.37400	0.37400	0.37400
8	p0_20_p1_40_p2_40	low02	3	0.19977	0.40011	0.40011	0.00000	0.00000	0.01968	35.29978	35.66667	353.3333	10.6667	10.6667	10.6667	0.02000	0.37500	0.37500	0.37500
8	p0_20_p1_40_p2_40	top02	3	0.19977	0.40011	0.40011	0.00000	0.00000	0.01968	35.29978	35.66667	353.3333	12.3333	12.3333	12.3333	0.02000	0.37333	0.37333	0.37333
8	p0_20_p1_40_p2_40	randtop02	3	0.19977	0.40011	0.40011	0.00000	0.00000	0.01968	35.29978	35.66667	353.3333	12.0000	12.0000	12.0000	0.02000	0.37367	0.37367	0.37367
8	p1_33_p2_34_p3_33	spread	3	0.00120	0.33001	0.33955	0.32923	0.00000	0.92840	1.22739	1.66667	353.3333	352.3333	351.6667	351.3333	0.02000	0.02167	0.02367	0.02533
8	p1_33_p2_34_p3_33	random	3	0.00120	0.33001	0.33955	0.32923	0.00000	0.66693	1.70202	6.33333	353.3333	352.0000	351.6667	351.6667	0.02000	0.02233	0.02333	0.02333
8	p1_33_p2_34_p3_33	low20	3	0.00120	0.33001	0.33955	0.32923	0.00000	0.20052	5.76452	6.00000	353.3333	306.0000	271.6667	271.6667	0.02000	0.09100	0.16033	0.16033
8	p1_33_p2_34_p3_33	top20	3	0.00120	0.33001	0.33955	0.32923	0.00000	0.20052	5.76452	6.00000	353.3333	170.0000	127.6667	127.6667	0.02000	0.28200	0.36900	0.36900
8	p1_33_p2_34_p3_33	randtop20	3	0.00120	0.33001	0.33955	0.32923	0.00000	0.20052	5.76452	6.00000	353.3333	256.3333	232.0000	232.0000	0.02000	0.15700	0.20667	0.20667
8	p1_33_p2_34_p3_33	low05	3	0.00120	0.33001	0.33955	0.32923	0.00000	0.03505	94.72143	135.00000	353.3333	90.3333	90.3333	90.3333	0.02000	0.30067	0.30067	0.30067
8	p1_33_p2_34_p3_33	top05	3	0.00120	0.33001	0.33955	0.32923	0.00000	0.03505	94.72143	135.00000	353.3333	22.0000	22.0000	22.0000	0.02000	0.37333	0.37333	0.37333
8	p1_33_p2_34_p3_33	randtop05	3	0.00120	0.33001	0.33955	0.32923	0.00000	0.03505	94.72143	135.00000	353.3333	21.3333	21.3333	21.3333	0.02000	0.37400	0.37400	0.37400
8	p1_33_p2_34_p3_33	low02	3	0.00120	0.33001	0.33955	0.32923	0.00000	0.01968	58.76407	59.66667	353.3333	10.6667	10.6667	10.6667	0.02000	0.37500	0.37500	0.37500
8	p1_33_p2_34_p3_33	top02	3	0.00120	0.33001	0.33955	0.32923	0.00000	0.01968	58.76407	59.66667	353.3333	12.3333	12.3333	12.3333	0.02000	0.37333	0.37333	0.37333
8	p1_33_p2_34_p3_33	randtop02	3	0.00120	0.33001	0.33955	0.32923	0.00000	0.01968	58.76407	59.66667	353.3333	12.0000	12.0000	12.0000	0.02000	0.37367	0.37367	0.37367
8	p2_50_p3_50	spread	3	0.00214	0.00000	0.49893	0.49893	0.00000	0.99384	1.45032	1.66667	353.3333	352.6667	352.3333	352.0000	0.02000	0.02067	0.02167	0.02300
8	p2_50_p3_50	random	3	0.00214	0.00000	0.49893	0.49893	0.00000	0.74085	1.91600	6.66667	353.3333	352.6667	352.0000	352.0000	0.02000	0.02067	0.02333	0.02333
8	p2_50_p3_50	low20	3	0.00214	0.00000	0.49893	0.49893	0.00000	0.20052	7.20274	7.66667	353.3333	352.6667	268.3333	268.3333	0.02000	0.02067	0.16767	0.16767
8	p2_50_p3_50	top20	3	0.00214	0.00000	0.49893	0.49893	0.00000	0.20052	7.20274	7.66667	353.3333	352.6667	170.0000	125.0000	0.02000	0.02067	0.28200	0.37400
8	p2_50_p3_50	randtop20	3	0.00214	0.00000	0.49893	0.49893	0.00000	0.20052	7.20274	7.66667	353.3333	352.6667	152.0000	143.3333	0.02000	0.02067	0.32067	0.33400
8	p2_50_p3_50	low05	3	0.00214	0.00000	0.49893	0.49893	0.00000	0.03505	118.13889	138.33333	353.3333	352.6667	93.0000	93.0000	0.02000	0.02067	0.29800	0.29800
8	p2_50_p3_50	top05	3	0.00214	0.00000	0.49893	0.49893	0.00000	0.03505	118.13889	138.33333	353.3333	352.6667	22.0000	22.0000	0.02000	0.02067	0.37333	0.37333
8	p2_50_p3_50	randtop05	3	0.00214	0.00000	0.49893	0.49893	0.00000	0.03505	118.13889	138.33333	353.3333	352.6667	21.3333	21.3333	0.02000	0.02067	0.37400	0.37400
8	p2_50_p3_50	low02	3	0.00214	0.00000	0.49893	0.49893	0.00000	0.01968	73.42352	74.33333	353.3333	352.6667	10.6667	10.6667	0.02000	0.02067	0.37500	0.37500
8	p2_50_p3_50	top02	3	0.00214	0.00000	0.49893	0.49893	0.00000	0.01968	73.42352	74.33333	353.3333	352.6667	12.3333	12.3333	0.02000	0.02067	0.37333	0.37333
8	p2_50_p3_50	randtop02	3	0.00214	0.00000	0.49893	0.49893	0.00000	0.01968	73.42352	74.33333	353.3333	352.6667	12.0000	12.0000	0.02000	0.02067	0.37367	0.37367
