family	dist_name	r_concentration	direct_K	tia_K	look1_K	look2_K	direct_T	tia_T	look1_T	look2_T	n
ba	p0_50_p1_50	spread	256.1667	127.1667	127.1667	127.1667	2.0000	14.9833	14.9833	14.9833	6
ba	p0_50_p1_50	random	256.1667	127.0000	127.0000	127.0000	2.0000	15.0167	15.0167	15.0167	6
ba	p0_50_p1_50	randtop20	256.1667	127.0000	126.8333	126.8333	2.0000	15.0167	15.0667	15.0667	6
ba	p0_50_p1_50	randtop05	256.1667	96.5000	96.5000	96.5000	2.0000	18.0667	18.0667	18.0667	6
ba	p2_100	spread	256.1667	256.1667	255.6667	255.6667	2.0000	2.0000	2.1667	2.1667	6
ba	p2_100	random	256.1667	256.1667	255.6667	255.6667	2.0000	2.0000	2.2000	2.2000	6
ba	p2_100	randtop20	256.1667	256.1667	168.5000	163.8333	2.0000	2.0000	14.4167	15.1333	6
ba	p2_100	randtop05	256.1667	256.1667	39.3333	39.3333	2.0000	2.0000	26.6167	26.6167	6
ba	p3_100	spread	256.1667	256.1667	256.1667	256.1667	2.0000	2.0000	2.0000	2.0000	6
ba	p3_100	random	256.1667	256.1667	256.1667	256.1667	2.0000	2.0000	2.0000	2.0000	6
ba	p3_100	randtop20	256.1667	256.1667	256.1667	152.3333	2.0000	2.0000	2.0000	17.5667	6
ba	p3_100	randtop05	256.1667	256.1667	256.1667	40.3333	2.0000	2.0000	2.0000	26.5333	6
ba	p4_100	spread	256.1667	250.1667	250.1667	250.1667	2.0000	2.6000	2.6000	2.6000	6
ba	p4_100	random	256.1667	250.1667	250.1667	250.1667	2.0000	2.6000	2.6000	2.6000	6
ba	p4_100	randtop20	256.1667	250.1667	250.1667	250.1667	2.0000	2.6000	2.6000	2.6000	6
ba	p4_100	randtop05	256.1667	250.1667	250.1667	250.1667	2.0000	2.6000	2.6000	2.6000	6
ba	p1_33_p2_34_p3_33	spread	256.1667	255.1667	254.8333	254.6667	2.0000	2.1667	2.2667	2.3500	6
ba	p1_33_p2_34_p3_33	random	256.1667	254.8333	254.6667	254.6667	2.0000	2.2333	2.2833	2.2833	6
ba	p1_33_p2_34_p3_33	randtop20	256.1667	207.1667	194.8333	194.8333	2.0000	8.9333	11.4667	11.4667	6
ba	p1_33_p2_34_p3_33	randtop05	256.1667	39.5000	39.5000	39.5000	2.0000	26.6167	26.6167	26.6167	6
ba	p2_50_p3_50	spread	256.1667	255.8333	255.6667	255.5000	2.0000	2.0333	2.0833	2.1500	6
ba	p2_50_p3_50	random	256.1667	255.8333	255.3333	255.3333	2.0000	2.0333	2.2333	2.2333	6
ba	p2_50_p3_50	randtop20	256.1667	255.8333	155.3333	151.0000	2.0000	2.0333	17.1000	17.7667	6
ba	p2_50_p3_50	randtop05	256.1667	255.8333	39.8333	39.8333	2.0000	2.0333	26.5833	26.5833	6
er	p0_50_p1_50	spread	91.5000	45.6667	45.6667	45.6667	2.0190	6.6480	6.6480	6.6480	6
er	p0_50_p1_50	random	91.5000	45.1667	45.1667	45.1667	2.0190	6.7480	6.7480	6.7480	6
er	p0_50_p1_50	randtop20	91.5000	45.6667	45.6667	45.6667	2.0190	6.6481	6.6481	6.6481	6
er	p0_50_p1_50	randtop05	91.5000	45.3333	45.3333	45.3333	2.0190	6.7142	6.7142	6.7142	6
er	p2_100	spread	91.5000	91.5000	91.5000	91.5000	2.0190	2.0190	2.0190	2.0190	6
er	p2_100	random	91.5000	91.5000	91.5000	91.5000	2.0190	2.0190	2.0190	2.0190	6
er	p2_100	randtop20	91.5000	91.5000	91.5000	91.5000	2.0190	2.0190	2.0190	2.0190	6
er	p2_100	randtop05	91.5000	91.5000	50.1667	50.1667	2.0190	2.0190	8.3396	8.3396	6
er	p3_100	spread	91.5000	91.5000	91.5000	91.5000	2.0190	2.0190	2.0190	2.0190	6
er	p3_100	random	91.5000	91.5000	91.5000	91.5000	2.0190	2.0190	2.0190	2.0190	6
er	p3_100	randtop20	91.5000	91.5000	91.5000	91.5000	2.0190	2.0190	2.0190	2.0190	6
er	p3_100	randtop05	91.5000	91.5000	91.5000	46.1667	2.0190	2.0190	2.0190	10.0896	6
er	p4_100	spread	91.5000	89.8333	89.8333	89.8333	2.0190	2.1886	2.1886	2.1886	6
er	p4_100	random	91.5000	89.8333	89.8333	89.8333	2.0190	2.1886	2.1886	2.1886	6
er	p4_100	randtop20	91.5000	89.8333	89.8333	89.8333	2.0190	2.1886	2.1886	2.1886	6
er	p4_100	randtop05	91.5000	89.8333	89.8333	89.8333	2.0190	2.1886	2.1886	2.1886	6
er	p1_33_p2_34_p3_33	spread	91.5000	91.0000	91.0000	91.0000	2.0190	2.0699	2.0699	2.0699	6
er	p1_33_p2_34_p3_33	random	91.5000	90.3333	90.3333	90.3333	2.0190	2.2039	2.2039	2.2039	6
er	p1_33_p2_34_p3_33	randtop20	91.5000	91.0000	91.0000	91.0000	2.0190	2.0699	2.0699	2.0699	6
er	p1_33_p2_34_p3_33	randtop05	91.5000	72.8333	49.6667	49.3333	2.0190	4.5725	8.3905	8.6279	6
er	p2_50_p3_50	spread	91.5000	91.3333	91.3333	91.3333	2.0190	2.0360	2.0360	2.0360	6
er	p2_50_p3_50	random	91.5000	91.3333	91.3333	91.3333	2.0190	2.0360	2.0360	2.0360	6
er	p2_50_p3_50	randtop20	91.5000	91.3333	91.3333	91.3333	2.0190	2.0360	2.0360	2.0360	6
er	p2_50_p3_50	randtop05	91.5000	91.3333	50.1667	48.3333	2.0190	2.0360	8.2885	9.1719	6
ws	p0_50_p1_50	spread	37.5000	18.6667	18.6667	18.6667	2.0000	3.8833	3.8833	3.8833	6
ws	p0_50_p1_50	random	37.5000	18.6667	18.6667	18.6667	2.0000	3.8833	3.8833	3.8833	6
ws	p0_50_p1_50	randtop20	37.5000	18.6667	18.6667	18.6667	2.0000	3.8833	3.8833	3.8833	6
ws	p0_50_p1_50	randtop05	37.5000	18.6667	18.6667	18.6667	2.0000	3.8833	3.8833	3.8833	6
ws	p2_100	spread	37.5000	37.1667	37.1667	37.1667	2.0000	2.0333	2.0333	2.0333	6
ws	p2_100	random	37.5000	37.1667	37.1667	37.1667	2.0000	2.0333	2.0333	2.0333	6
ws	p2_100	randtop20	37.5000	37.1667	37.1667	37.1667	2.0000	2.0333	2.0333	2.0333	6
ws	p2_100	randtop05	37.5000	37.1667	35.8333	35.8333	2.0000	2.0333	2.3667	2.3667	6
ws	p3_100	spread	37.5000	34.3333	34.3333	34.3333	2.0000	2.3167	2.3167	2.3167	6
ws	p3_100	random	37.5000	34.3333	34.3333	34.3333	2.0000	2.3167	2.3167	2.3167	6
ws	p3_100	randtop20	37.5000	34.3333	34.3333	34.3333	2.0000	2.3167	2.3167	2.3167	6
ws	p3_100	randtop05	37.5000	34.3333	34.3333	33.3333	2.0000	2.3167	2.3167	2.7167	6
ws	p4_100	spread	37.5000	32.5000	32.5000	32.5000	2.0000	2.5000	2.5000	2.5000	6
ws	p4_100	random	37.5000	32.5000	32.5000	32.5000	2.0000	2.5000	2.5000	2.5000	6
ws	p4_100	randtop20	37.5000	32.5000	32.5000	32.5000	2.0000	2.5000	2.5000	2.5000	6
ws	p4_100	randtop05	37.5000	32.5000	32.5000	32.5000	2.0000	2.5000	2.5000	2.5000	6
ws	p1_33_p2_34_p3_33	spread	37.5000	37.1667	37.1667	37.1667	2.0000	2.0333	2.0333	2.0333	6
ws	p1_33_p2_34_p3_33	random	37.5000	37.1667	37.1667	37.1667	2.0000	2.0333	2.0333	2.0333	6
ws	p1_33_p2_34_p3_33	randtop20	37.5000	37.1667	37.1667	37.1667	2.0000	2.0333	2.0333	2.0333	6
ws	p1_33_p2_34_p3_33	randtop05	37.5000	37.1667	37.1667	35.8333	2.0000	2.0333	2.0333	2.4000	6
ws	p2_50_p3_50	spread	37.5000	35.8333	35.8333	35.8333	2.0000	2.1667	2.1667	2.1667	6
ws	p2_50_p3_50	random	37.5000	35.8333	35.8333	35.8333	2.0000	2.1667	2.1667	2.1667	6
ws	p2_50_p3_50	randtop20	37.5000	35.8333	35.8333	35.8333	2.0000	2.1667	2.1667	2.1667	6
ws	p2_50_p3_50	randtop05	37.5000	35.8333	35.8333	35.0000	2.0000	2.1667	2.1667	2.4833	6
sbm_strong	p0_50_p1_50	spread	122.6667	61.0000	61.0000	61.0000	2.0003	8.1846	8.1846	8.1846	6
sbm_strong	p0_50_p1_50	random	122.6667	60.1667	60.1667	60.1667	2.0003	8.3513	8.3513	8.3513	6
sbm_strong	p0_50_p1_50	randtop20	122.6667	61.1667	61.1667	61.1667	2.0003	8.1512	8.1512	8.1512	6
sbm_strong	p0_50_p1_50	randtop05	122.6667	60.1667	60.1667	60.1667	2.0003	8.3513	8.3513	8.3513	6
sbm_strong	p2_100	spread	122.6667	122.6667	122.6667	122.6667	2.0003	2.0003	2.0003	2.0003	6
sbm_strong	p2_100	random	122.6667	122.6667	122.6667	122.6667	2.0003	2.0003	2.0003	2.0003	6
sbm_strong	p2_100	randtop20	122.6667	122.6667	122.6667	122.6667	2.0003	2.0003	2.0003	2.0003	6
sbm_strong	p2_100	randtop05	122.6667	122.6667	43.0000	43.0000	2.0003	2.0003	14.2688	14.2688	6
sbm_strong	p3_100	spread	122.6667	122.6667	122.6667	122.6667	2.0003	2.0003	2.0003	2.0003	6
sbm_strong	p3_100	random	122.6667	122.6667	122.6667	122.6667	2.0003	2.0003	2.0003	2.0003	6
sbm_strong	p3_100	randtop20	122.6667	122.6667	122.6667	122.6667	2.0003	2.0003	2.0003	2.0003	6
sbm_strong	p3_100	randtop05	122.6667	122.6667	122.6667	43.0000	2.0003	2.0003	2.0003	14.2688	6
sbm_strong	p4_100	spread	122.6667	122.6667	122.6667	122.6667	2.0003	2.0003	2.0003	2.0003	6
sbm_strong	p4_100	random	122.6667	122.6667	122.6667	122.6667	2.0003	2.0003	2.0003	2.0003	6
sbm_strong	p4_100	randtop20	122.6667	122.6667	122.6667	122.6667	2.0003	2.0003	2.0003	2.0003	6
sbm_strong	p4_100	randtop05	122.6667	122.6667	122.6667	122.6667	2.0003	2.0003	2.0003	2.0003	6
sbm_strong	p1_33_p2_34_p3_33	spread	122.6667	122.0000	122.0000	122.0000	2.0003	2.0837	2.0837	2.0837	6
sbm_strong	p1_33_p2_34_p3_33	random	122.6667	121.3333	121.3333	121.3333	2.0003	2.2170	2.2170	2.2170	6
sbm_strong	p1_33_p2_34_p3_33	randtop20	122.6667	122.1667	122.1667	122.1667	2.0003	2.0503	2.0503	2.0503	6
sbm_strong	p1_33_p2_34_p3_33	randtop05	122.6667	106.3333	44.0000	44.0000	2.0003	4.3337	14.1354	14.1354	6
sbm_strong	p2_50_p3_50	spread	122.6667	122.1667	122.1667	122.1667	2.0003	2.0504	2.0504	2.0504	6
sbm_strong	p2_50_p3_50	random	122.6667	122.1667	122.1667	122.1667	2.0003	2.0504	2.0504	2.0504	6
sbm_strong	p2_50_p3_50	randtop20	122.6667	122.1667	122.1667	122.1667	2.0003	2.0504	2.0504	2.0504	6
sbm_strong	p2_50_p3_50	randtop05	122.6667	122.1667	43.0000	43.0000	2.0003	2.0504	14.2688	14.2688	6
sbm_weak	p0_50_p1_50	spread	150.8333	75.5000	75.5000	75.5000	2.0003	9.5348	9.5348	9.5348	6
sbm_weak	p0_50_p1_50	random	150.8333	74.3333	74.3333	74.3333	2.0003	9.7516	9.7516	9.7516	6
sbm_weak	p0_50_p1_50	randtop20	150.8333	75.5000	75.5000	75.5000	2.0003	9.5348	9.5348	9.5348	6
sbm_weak	p0_50_p1_50	randtop05	150.8333	74.5000	74.5000	74.5000	2.0003	9.7349	9.7349	9.7349	6
sbm_weak	p2_100	spread	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p2_100	random	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p2_100	randtop20	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p2_100	randtop05	150.8333	150.8333	41.0000	41.0000	2.0003	2.0003	17.1027	17.1027	6
sbm_weak	p3_100	spread	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p3_100	random	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p3_100	randtop20	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p3_100	randtop05	150.8333	150.8333	150.8333	41.0000	2.0003	2.0003	2.0003	17.1027	6
sbm_weak	p4_100	spread	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p4_100	random	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p4_100	randtop20	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p4_100	randtop05	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p1_33_p2_34_p3_33	spread	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p1_33_p2_34_p3_33	random	150.8333	149.8333	149.8333	149.8333	2.0003	2.2004	2.2004	2.2004	6
sbm_weak	p1_33_p2_34_p3_33	randtop20	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p1_33_p2_34_p3_33	randtop05	150.8333	41.0000	41.0000	41.0000	2.0003	17.1027	17.1027	17.1027	6
sbm_weak	p2_50_p3_50	spread	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p2_50_p3_50	random	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p2_50_p3_50	randtop20	150.8333	150.8333	150.8333	150.8333	2.0003	2.0003	2.0003	2.0003	6
sbm_weak	p2_50_p3_50	randtop05	150.8333	150.8333	41.0000	41.0000	2.0003	2.0003	17.1027	17.1027	6
lfr_strong	p0_50_p1_50	spread	117.1667	58.5000	58.5000	58.5000	2.0020	7.8901	7.8901	7.8901	6
lfr_strong	p0_50_p1_50	random	117.1667	57.8333	57.8333	57.8333	2.0020	8.0233	8.0233	8.0233	6
lfr_strong	p0_50_p1_50	randtop20	117.1667	58.3333	58.3333	58.3333	2.0020	7.9233	7.9233	7.9233	6
lfr_strong	p0_50_p1_50	randtop05	117.1667	58.0000	58.0000	58.0000	2.0020	7.9733	7.9733	7.9733	6
lfr_strong	p2_100	spread	117.1667	95.5000	95.5000	95.5000	2.0020	4.1699	4.1699	4.1699	6
lfr_strong	p2_100	random	117.1667	95.5000	95.5000	95.5000	2.0020	4.1699	4.1699	4.1699	6
lfr_strong	p2_100	randtop20	117.1667	95.5000	95.5000	95.5000	2.0020	4.1699	4.1699	4.1699	6
lfr_strong	p2_100	randtop05	117.1667	95.5000	50.5000	50.5000	2.0020	4.1699	10.9584	10.9584	6
lfr_strong	p3_100	spread	117.1667	81.3333	81.3333	81.3333	2.0020	5.5883	5.5883	5.5883	6
lfr_strong	p3_100	random	117.1667	81.3333	81.3333	81.3333	2.0020	5.5883	5.5883	5.5883	6
lfr_strong	p3_100	randtop20	117.1667	81.3333	81.3333	81.3333	2.0020	5.5883	5.5883	5.5883	6
lfr_strong	p3_100	randtop05	117.1667	81.3333	81.3333	45.6667	2.0020	5.5883	5.5883	12.0584	6
lfr_strong	p4_100	spread	117.1667	72.6667	72.6667	72.6667	2.0020	6.4565	6.4565	6.4565	6
lfr_strong	p4_100	random	117.1667	72.6667	72.6667	72.6667	2.0020	6.4565	6.4565	6.4565	6
lfr_strong	p4_100	randtop20	117.1667	72.6667	72.6667	72.6667	2.0020	6.4565	6.4565	6.4565	6
lfr_strong	p4_100	randtop05	117.1667	72.6667	72.6667	72.6667	2.0020	6.4565	6.4565	6.4565	6
lfr_strong	p1_33_p2_34_p3_33	spread	117.1667	103.0000	103.0000	103.0000	2.0020	3.4195	3.4195	3.4195	6
lfr_strong	p1_33_p2_34_p3_33	random	117.1667	102.3333	102.3333	102.3333	2.0020	3.5529	3.5529	3.5529	6
lfr_strong	p1_33_p2_34_p3_33	randtop20	117.1667	102.8333	102.6667	102.6667	2.0020	3.4528	3.5029	3.5029	6
lfr_strong	p1_33_p2_34_p3_33	randtop05	117.1667	65.8333	46.6667	45.8333	2.0020	8.4417	11.7917	12.0084	6
lfr_strong	p2_50_p3_50	spread	117.1667	92.0000	92.0000	92.0000	2.0020	4.5205	4.5205	4.5205	6
lfr_strong	p2_50_p3_50	random	117.1667	92.0000	92.0000	92.0000	2.0020	4.5205	4.5205	4.5205	6
lfr_strong	p2_50_p3_50	randtop20	117.1667	92.0000	92.0000	92.0000	2.0020	4.5205	4.5205	4.5205	6
lfr_strong	p2_50_p3_50	randtop05	117.1667	92.0000	52.3333	45.3333	2.0020	4.5205	10.5084	12.0917	6
lfr_weak	p0_50_p1_50	spread	109.1667	54.5000	54.5000	54.5000	2.0017	7.4711	7.4711	7.4711	6
lfr_weak	p0_50_p1_50	random	109.1667	53.5000	53.5000	53.5000	2.0017	7.6713	7.6713	7.6713	6
lfr_weak	p0_50_p1_50	randtop20	109.1667	54.5000	54.5000	54.5000	2.0017	7.4711	7.4711	7.4711	6
lfr_weak	p0_50_p1_50	randtop05	109.1667	53.8333	53.8333	53.8333	2.0017	7.6045	7.6045	7.6045	6
lfr_weak	p2_100	spread	109.1667	109.1667	109.1667	109.1667	2.0017	2.0017	2.0017	2.0017	6
lfr_weak	p2_100	random	109.1667	109.1667	109.1667	109.1667	2.0017	2.0017	2.0017	2.0017	6
lfr_weak	p2_100	randtop20	109.1667	109.1667	109.1667	109.1667	2.0017	2.0017	2.0017	2.0017	6
lfr_weak	p2_100	randtop05	109.1667	109.1667	49.5000	49.5000	2.0017	2.0017	10.9035	10.9035	6
lfr_weak	p3_100	spread	109.1667	109.1667	109.1667	109.1667	2.0017	2.0017	2.0017	2.0017	6
lfr_weak	p3_100	random	109.1667	109.1667	109.1667	109.1667	2.0017	2.0017	2.0017	2.0017	6
lfr_weak	p3_100	randtop20	109.1667	109.1667	109.1667	108.3333	2.0017	2.0017	2.0017	2.4683	6
lfr_weak	p3_100	randtop05	109.1667	109.1667	109.1667	50.3333	2.0017	2.0017	2.0017	10.8702	6
lfr_weak	p4_100	spread	109.1667	106.1667	106.1667	106.1667	2.0017	2.3020	2.3020	2.3020	6
lfr_weak	p4_100	random	109.1667	106.1667	106.1667	106.1667	2.0017	2.3020	2.3020	2.3020	6
lfr_weak	p4_100	randtop20	109.1667	106.1667	106.1667	106.1667	2.0017	2.3020	2.3020	2.3020	6
lfr_weak	p4_100	randtop05	109.1667	106.1667	106.1667	106.1667	2.0017	2.3020	2.3020	2.3020	6
lfr_weak	p1_33_p2_34_p3_33	spread	109.1667	108.8333	108.8333	108.8333	2.0017	2.0351	2.0351	2.0351	6
lfr_weak	p1_33_p2_34_p3_33	random	109.1667	108.1667	108.1667	108.1667	2.0017	2.1685	2.1685	2.1685	6
lfr_weak	p1_33_p2_34_p3_33	randtop20	109.1667	108.8333	108.8333	108.5000	2.0017	2.0351	2.0351	2.2184	6
lfr_weak	p1_33_p2_34_p3_33	randtop05	109.1667	66.0000	48.1667	47.6667	2.0017	7.6684	11.2036	11.3875	6
lfr_weak	p2_50_p3_50	spread	109.1667	108.8333	108.8333	108.8333	2.0017	2.0350	2.0350	2.0350	6
lfr_weak	p2_50_p3_50	random	109.1667	108.8333	108.8333	108.8333	2.0017	2.0350	2.0350	2.0350	6
lfr_weak	p2_50_p3_50	randtop20	109.1667	108.8333	108.8333	108.3333	2.0017	2.0350	2.0350	2.3017	6
lfr_weak	p2_50_p3_50	randtop05	109.1667	108.8333	49.5000	45.3333	2.0017	2.0350	10.7865	12.0381	6
